iter	Logloss
0	0.6874453735
1	0.6823217773
2	0.6775166321
3	0.6727981567
4	0.6686624908
5	0.6641799927
6	0.6600305176
7	0.6563606262
8	0.6517733765
9	0.6475480652
10	0.6424195099
11	0.6378669357
12	0.6331278229
13	0.6288865662
14	0.6248092651
15	0.6203655624
16	0.6164748383
17	0.612884407
18	0.6094843674
19	0.6063589478
20	0.6028668976
21	0.6002191162
22	0.5969874573
23	0.5941269684
24	0.5907768631
25	0.5871466064
26	0.5834563828
27	0.5795920563
28	0.5760913467
29	0.5729309845
30	0.5697343445
31	0.5663441467
32	0.5631204987
33	0.5599072266
34	0.556682663
35	0.5541247559
36	0.55152771
37	0.5491768646
38	0.5465533829
39	0.5438798904
40	0.5410817719
41	0.5383450317
42	0.5358551788
43	0.5333838272
44	0.5309536743
45	0.5289760971
46	0.5264504242
47	0.5245831299
48	0.5223009109
49	0.5200084686
50	0.5172865677
51	0.5153744507
52	0.5136749649
53	0.5118374634
54	0.5097544098
55	0.5072206879
56	0.5050985718
57	0.5032429504
58	0.5012810898
59	0.499598732
60	0.4976047897
61	0.4956781006
62	0.4938222504
63	0.491887207
64	0.4899713898
65	0.4879172516
66	0.4855391693
67	0.4838534546
68	0.48177948
69	0.4803985977
70	0.4784470367
71	0.476707077
72	0.475213089
73	0.4734579849
74	0.4721555328
75	0.4711373138
76	0.4693244553
77	0.4676833344
78	0.4661800003
79	0.4647090149
80	0.4628179932
81	0.4617207336
82	0.4600139618
83	0.458954277
84	0.4576303864
85	0.4561855316
86	0.45487957
87	0.4533046722
88	0.4517164612
89	0.4503646088
90	0.4488749313
91	0.4476936722
92	0.4466605377
93	0.4452581024
94	0.4440597534
95	0.4426757431
96	0.4414360046
97	0.4399892807
98	0.4389091873
99	0.4378385544
100	0.4364438629
101	0.4354920197
102	0.4342205048
103	0.4330839539
104	0.4322804642
105	0.4310111237
106	0.4297250748
107	0.4290241241
108	0.4278363037
109	0.4266991425
110	0.4255147552
111	0.424475174
112	0.423580246
113	0.423064537
114	0.4222102356
115	0.4213520813
116	0.4203681946
117	0.4193608856
118	0.4182110977
119	0.4174311066
120	0.4159911346
121	0.4150194168
122	0.4141571045
123	0.4129055786
124	0.4117219543
125	0.4109505463
126	0.4100449371
127	0.4091322708
128	0.4084631348
129	0.4075535965
130	0.4065259171
131	0.4057559967
132	0.4050286865
133	0.4042752457
134	0.4036668777
135	0.4030954742
136	0.4020608521
137	0.4013107681
138	0.4004375458
139	0.3998484802
140	0.3992432785
141	0.3986757278
142	0.3978681564
143	0.3969804764
144	0.3960723114
145	0.3951652527
146	0.3943126678
147	0.3934958267
148	0.3928633881
149	0.391839447
150	0.3911248016
151	0.390690155
152	0.3898979187
153	0.3888562775
154	0.388376236
155	0.3874848175
156	0.386893158
157	0.3861679459
158	0.3852939224
159	0.3846822357
160	0.3839859009
161	0.3829976273
162	0.382387886
163	0.3816594696
164	0.3809951019
165	0.3802792358
166	0.3795817566
167	0.3790374756
168	0.3781903839
169	0.3776376724
170	0.377025032
171	0.3762744141
172	0.3757934189
173	0.3750118256
174	0.3743478394
175	0.3737650299
176	0.3730584335
177	0.3726711273
178	0.3722172546
179	0.3717154694
180	0.370800972
181	0.3701251984
182	0.3696007919
183	0.3691016388
184	0.3684174347
185	0.3676757813
186	0.3672966003
187	0.3665204239
188	0.365929184
189	0.3653994751
190	0.3648797226
191	0.3643364716
192	0.363870697
193	0.3635245132
194	0.3628511429
195	0.3624016571
196	0.361868515
197	0.3612574768
198	0.3606626129
199	0.359978447
200	0.359587326
201	0.3590653992
202	0.3586159134
203	0.3579788971
204	0.3574431229
205	0.356913147
206	0.3565653229
207	0.3560891724
208	0.3553009796
209	0.3547003174
210	0.3541119385
211	0.3534614563
212	0.3528777695
213	0.3523654556
214	0.3521022034
215	0.351633873
216	0.3511688614
217	0.350517807
218	0.350091095
219	0.3496080399
220	0.348822937
221	0.3483718872
222	0.3478916168
223	0.3474277496
224	0.346971283
225	0.3464306641
226	0.3459960938
227	0.3456462097
228	0.345226593
229	0.344539032
230	0.3441687012
231	0.3438138962
232	0.3433517456
233	0.3429338074
234	0.3426081085
235	0.3421912384
236	0.3416453552
237	0.341000061
238	0.3406425476
239	0.3401954651
240	0.3398628235
241	0.3395025253
242	0.3391982269
243	0.3384521484
244	0.3378499603
245	0.3374887848
246	0.3371829224
247	0.3366812897
248	0.3362776947
249	0.3358589172
250	0.3354668427
251	0.3349064636
252	0.3347309113
253	0.3343690491
254	0.3336882782
255	0.3334448242
256	0.3331658173
257	0.3328445435
258	0.3324845123
259	0.3320341873
260	0.3317041016
261	0.331241684
262	0.3308190155
263	0.3303033829
264	0.3295458221
265	0.3291596222
266	0.3288565063
267	0.328459053
268	0.3281460571
269	0.327722702
270	0.3273958206
271	0.3270667267
272	0.326656723
273	0.3263331223
274	0.3260708618
275	0.3256014252
276	0.3252066422
277	0.3248598099
278	0.3246068573
279	0.3240427399
280	0.3236320496
281	0.3233446503
282	0.3229449081
283	0.3225903702
284	0.3220832062
285	0.3216303635
286	0.321186142
287	0.3208787155
288	0.3205599594
289	0.3204174042
290	0.3198923302
291	0.3194402695
292	0.3188809013
293	0.3186680603
294	0.318365593
295	0.3179673386
296	0.3176802635
297	0.3173603439
298	0.3169386864
299	0.3164221191
300	0.316110611
301	0.315528965
302	0.3151889038
303	0.314899025
304	0.3144232941
305	0.3141439056
306	0.3137897873
307	0.3135639954
308	0.3132819748
309	0.3128648376
310	0.3125819778
311	0.3121694756
312	0.3119181633
313	0.3115523911
314	0.3111757088
315	0.3108211327
316	0.3105758095
317	0.3100118256
318	0.3097014999
319	0.3093265152
320	0.3089852142
321	0.3086652946
322	0.3082333374
323	0.3079117966
324	0.3076205826
325	0.3072832298
326	0.306833725
327	0.3066417503
328	0.3063047409
329	0.3060445404
330	0.3056772804
331	0.3051325798
332	0.3048864746
333	0.3046582603
334	0.3043712425
335	0.3041459846
336	0.3038199043
337	0.3034366608
338	0.3029466248
339	0.3027243042
340	0.3023460388
341	0.3020668793
342	0.3016912651
343	0.3012306213
344	0.3009342957
345	0.3006342697
346	0.3003621101
347	0.3000099945
348	0.2997109985
349	0.299491539
350	0.2990824318
351	0.2987578583
352	0.2984412766
353	0.2981717873
354	0.297868576
355	0.2975500488
356	0.2973143387
357	0.2969377708
358	0.2966560364
359	0.2963612747
360	0.2960015106
361	0.2957109261
362	0.2952916527
363	0.2952474594
364	0.294805851
365	0.2944088936
366	0.2940369415
367	0.2937831116
368	0.2936425018
369	0.2933583832
370	0.2929500389
371	0.2926898003
372	0.2923794556
373	0.2920343018
374	0.2915781403
375	0.2913967514
376	0.2910667992
377	0.2908230972
378	0.2904907227
379	0.2901106644
380	0.2897522545
381	0.2895554733
382	0.2892179108
383	0.2888383865
384	0.2887321091
385	0.288487854
386	0.2880288696
387	0.2875260925
388	0.2872841835
389	0.2869710159
390	0.2867754745
391	0.2865522194
392	0.2862977028
393	0.2859801102
394	0.2856692505
395	0.2855033493
396	0.2852162743
397	0.284849205
398	0.2846280289
