iter	Passed	Remaining
0	5	5731
1	10	5012
2	14	4952
3	20	5049
4	25	4988
5	30	5005
6	35	5092
7	40	4966
8	46	5129
9	51	5092
10	57	5136
11	62	5173
12	67	5142
13	71	5064
14	76	5046
15	81	4992
16	85	4947
17	89	4907
18	94	4876
19	98	4843
20	103	4806
21	108	4812
22	112	4782
23	116	4755
24	123	4797
25	127	4768
26	131	4738
27	135	4717
28	140	4713
29	144	4679
30	150	4705
31	155	4692
32	159	4667
33	164	4661
34	168	4636
35	172	4622
36	177	4613
37	181	4599
38	186	4594
39	190	4574
40	195	4574
41	199	4558
42	204	4551
43	208	4535
44	212	4519
45	217	4504
46	221	4486
47	227	4506
48	231	4485
49	235	4477
50	240	4476
51	244	4459
52	248	4445
53	252	4431
54	257	4422
55	261	4409
56	267	4424
57	271	4408
58	275	4396
59	279	4384
60	283	4368
61	287	4356
62	291	4337
63	295	4324
64	300	4315
65	304	4307
66	308	4299
67	313	4296
68	317	4287
69	322	4279
70	326	4269
71	330	4265
72	334	4251
73	338	4240
74	343	4238
75	348	4234
76	353	4231
77	358	4242
78	364	4249
79	372	4284
80	376	4275
81	388	4351
82	396	4380
83	405	4418
84	413	4448
85	419	4458
86	426	4476
87	430	4462
88	437	4483
89	442	4473
90	448	4480
91	454	4490
92	459	4483
93	467	4508
94	473	4511
95	478	4506
96	486	4529
97	499	4599
98	506	4612
99	515	4637
100	520	4636
101	524	4619
102	537	4683
103	543	4686
104	549	4680
105	554	4679
106	559	4670
107	565	4671
108	570	4664
109	575	4652
110	583	4669
111	592	4695
112	600	4713
113	605	4702
114	614	4725
115	618	4713
116	625	4720
117	631	4717
118	635	4705
119	641	4701
120	645	4691
121	650	4679
122	655	4671
123	660	4662
124	664	4652
125	669	4645
126	674	4634
127	678	4624
128	683	4617
129	688	4610
130	693	4599
131	698	4590
132	703	4583
133	707	4572
134	711	4561
135	716	4550
136	721	4547
137	726	4536
138	730	4526
139	735	4515
140	739	4502
141	744	4498
142	748	4486
143	753	4476
144	759	4476
145	763	4464
146	767	4454
147	772	4448
148	777	4440
149	782	4433
150	788	4433
151	793	4424
152	797	4415
153	802	4406
154	806	4397
155	811	4388
156	816	4385
157	821	4376
158	825	4367
159	830	4359
160	836	4357
161	841	4351
162	845	4340
163	849	4328
164	853	4319
165	857	4310
166	862	4301
167	867	4294
168	872	4289
169	877	4282
170	881	4273
171	886	4266
172	890	4255
173	894	4245
174	898	4236
175	902	4226
176	906	4215
177	911	4207
178	915	4198
179	919	4190
180	924	4183
181	929	4176
182	933	4169
183	937	4159
184	942	4151
185	949	4154
186	953	4147
187	958	4139
188	962	4131
189	966	4122
190	971	4114
191	975	4105
192	982	4108
193	986	4098
194	993	4101
195	1000	4103
196	1005	4100
197	1012	4101
198	1017	4097
199	1024	4096
200	1029	4091
201	1033	4082
202	1038	4077
203	1043	4071
204	1048	4064
205	1053	4059
206	1060	4062
207	1065	4055
208	1070	4052
209	1077	4053
210	1081	4045
211	1087	4040
212	1092	4036
213	1096	4028
214	1101	4022
215	1106	4015
216	1110	4007
217	1114	3999
218	1119	3991
219	1123	3984
220	1128	3976
221	1132	3967
222	1136	3959
223	1140	3950
224	1144	3942
225	1148	3934
226	1153	3926
227	1157	3919
228	1161	3910
229	1165	3901
230	1169	3894
231	1174	3886
232	1178	3878
233	1181	3869
234	1186	3862
235	1191	3856
236	1195	3847
237	1199	3839
238	1203	3832
239	1207	3824
240	1212	3817
241	1217	3814
242	1222	3809
243	1228	3806
244	1233	3800
245	1237	3792
246	1241	3785
247	1246	3779
248	1250	3772
249	1255	3765
250	1259	3758
251	1264	3751
252	1268	3744
253	1272	3736
254	1276	3728
255	1280	3722
256	1284	3714
257	1289	3707
258	1293	3701
259	1297	3693
260	1302	3686
261	1306	3679
262	1310	3672
263	1315	3667
264	1319	3661
265	1324	3655
266	1328	3648
267	1333	3641
268	1337	3634
269	1342	3628
270	1346	3621
271	1351	3616
272	1355	3608
273	1359	3603
274	1364	3596
275	1368	3588
276	1371	3580
277	1375	3572
278	1380	3568
279	1384	3561
280	1389	3555
281	1393	3549
282	1398	3542
283	1402	3536
284	1407	3531
285	1412	3525
286	1416	3520
287	1421	3514
288	1425	3507
289	1430	3503
290	1435	3497
291	1439	3490
292	1443	3484
293	1448	3477
294	1452	3471
295	1456	3464
296	1462	3462
297	1469	3461
298	1480	3470
299	1488	3472
300	1500	3484
301	1506	3481
302	1512	3478
303	1516	3472
304	1521	3466
305	1525	3459
306	1529	3452
307	1534	3447
308	1538	3441
309	1543	3436
310	1548	3431
311	1553	3424
312	1557	3418
313	1562	3413
314	1567	3408
315	1571	3402
316	1576	3396
317	1582	3393
318	1587	3389
319	1592	3383
320	1597	3379
321	1602	3373
322	1606	3367
323	1613	3365
324	1618	3361
325	1623	3356
326	1629	3354
327	1634	3349
328	1640	3344
329	1645	3340
330	1650	3335
331	1658	3336
332	1663	3331
333	1667	3325
334	1672	3319
335	1678	3317
336	1683	3311
337	1687	3305
338	1693	3301
339	1697	3294
340	1701	3288
341	1706	3282
342	1712	3279
343	1716	3273
344	1721	3267
345	1725	3262
346	1730	3256
347	1734	3250
348	1739	3245
349	1744	3239
350	1748	3233
351	1753	3227
352	1757	3221
353	1761	3215
354	1766	3209
355	1771	3204
356	1775	3198
357	1781	3193
358	1786	3189
359	1790	3183
360	1795	3178
361	1800	3172
362	1812	3180
363	1814	3170
364	1820	3166
365	1825	3161
366	1829	3155
367	1835	3151
368	1839	3146
369	1844	3140
370	1849	3135
371	1854	3130
372	1858	3123
373	1863	3118
374	1868	3113
375	1872	3107
376	1876	3101
377	1881	3095
378	1885	3090
379	1890	3083
380	1895	3078
381	1900	3073
382	1904	3068
383	1909	3063
384	1914	3058
385	1918	3052
386	1923	3046
387	1927	3040
388	1932	3034
389	1936	3029
390	1941	3023
391	1945	3018
392	1949	3011
393	1954	3006
394	1961	3004
395	1966	2999
396	1970	2993
397	1976	2989
398	1980	2983
399	1984	2977
400	1988	2971
401	1995	2968
402	2000	2963
403	2004	2957
404	2010	2953
405	2014	2947
406	2019	2942
407	2024	2937
408	2029	2932
409	2033	2926
410	2037	2920
411	2042	2915
412	2047	2909
413	2051	2904
414	2056	2899
415	2061	2893
416	2065	2888
417	2070	2883
418	2075	2878
419	2080	2872
420	2085	2867
421	2091	2864
422	2095	2858
423	2099	2852
424	2105	2847
425	2109	2842
426	2114	2837
427	2119	2832
428	2124	2827
429	2128	2821
430	2133	2816
431	2138	2811
432	2143	2806
433	2148	2801
434	2152	2796
435	2158	2791
436	2162	2786
437	2167	2781
438	2172	2776
439	2176	2770
440	2183	2767
441	2187	2761
442	2192	2756
443	2196	2750
444	2202	2746
445	2207	2741
446	2211	2736
447	2216	2730
448	2220	2724
449	2224	2718
450	2228	2713
451	2233	2707
452	2238	2703
453	2243	2697
454	2247	2692
455	2251	2686
456	2255	2680
457	2261	2676
458	2265	2670
459	2269	2664
460	2279	2664
461	2284	2659
462	2290	2656
463	2296	2652
464	2300	2646
465	2305	2642
466	2311	2637
467	2315	2631
468	2319	2626
469	2325	2622
470	2329	2616
471	2334	2611
472	2338	2605
473	2343	2600
474	2348	2595
475	2352	2589
476	2357	2585
477	2361	2579
478	2366	2573
479	2370	2568
480	2374	2562
481	2379	2556
482	2384	2552
483	2389	2547
484	2394	2542
485	2399	2537
486	2403	2532
487	2408	2526
488	2412	2521
489	2417	2515
490	2424	2513
491	2430	2509
492	2434	2503
493	2439	2498
494	2446	2495
495	2452	2491
496	2458	2488
497	2462	2482
498	2467	2477
499	2472	2472
500	2476	2466
501	2481	2461
502	2486	2456
503	2490	2451
504	2495	2445
505	2501	2441
506	2506	2437
507	2511	2432
508	2516	2427
509	2520	2421
510	2526	2417
511	2531	2413
512	2536	2408
513	2541	2402
514	2545	2397
515	2551	2392
516	2555	2387
517	2559	2381
518	2565	2377
519	2570	2372
520	2574	2367
521	2579	2362
522	2584	2357
523	2588	2351
524	2595	2348
525	2600	2343
526	2604	2337
527	2608	2332
528	2613	2326
529	2617	2321
530	2621	2315
531	2626	2310
532	2630	2304
533	2636	2301
534	2641	2295
535	2645	2290
536	2650	2285
537	2655	2280
538	2660	2275
539	2665	2270
540	2670	2265
541	2676	2262
542	2681	2256
543	2685	2251
544	2691	2246
545	2695	2241
546	2699	2235
547	2704	2230
548	2709	2226
549	2714	2221
550	2719	2215
551	2723	2210
552	2728	2205
553	2732	2199
554	2737	2194
555	2741	2189
556	2745	2183
557	2749	2178
558	2754	2172
559	2758	2167
560	2762	2161
561	2766	2156
562	2771	2151
563	2775	2145
564	2779	2140
565	2783	2134
566	2788	2129
567	2793	2124
568	2797	2119
569	2807	2118
570	2813	2113
571	2818	2109
572	2823	2103
573	2827	2098
574	2833	2094
575	2838	2089
576	2843	2084
577	2849	2080
578	2853	2075
579	2858	2069
580	2862	2064
581	2867	2059
582	2872	2054
583	2876	2049
584	2881	2044
585	2886	2039
586	2890	2034
587	2896	2029
588	2901	2024
589	2907	2020
590	2911	2015
591	2916	2009
592	2921	2004
593	2925	1999
594	2930	1994
595	2936	1990
596	2941	1985
597	2947	1981
598	2951	1976
599	2956	1970
600	2961	1966
601	2966	1961
602	2970	1955
603	2976	1951
604	2980	1946
605	2985	1941
606	2990	1936
607	2995	1931
608	3001	1926
609	3005	1921
610	3012	1917
611	3016	1912
612	3021	1907
613	3026	1902
614	3031	1897
615	3035	1892
616	3040	1887
617	3044	1882
618	3048	1876
619	3053	1871
620	3057	1866
621	3062	1860
622	3066	1855
623	3071	1850
624	3076	1845
625	3079	1840
626	3084	1834
627	3089	1829
628	3093	1824
629	3097	1819
630	3102	1814
631	3106	1808
632	3111	1803
633	3115	1798
634	3120	1793
635	3125	1788
636	3129	1783
637	3136	1779
638	3141	1774
639	3145	1769
640	3150	1764
641	3154	1758
642	3158	1753
643	3162	1748
644	3167	1743
645	3172	1738
646	3176	1733
647	3182	1728
648	3186	1723
649	3190	1717
650	3195	1713
651	3200	1708
652	3204	1702
653	3209	1697
654	3214	1693
655	3218	1687
656	3222	1682
657	3227	1677
658	3231	1672
659	3235	1666
660	3239	1661
661	3247	1658
662	3253	1653
663	3258	1648
664	3265	1644
665	3269	1639
666	3274	1634
667	3282	1631
668	3287	1626
669	3292	1621
670	3297	1616
671	3301	1611
672	3305	1605
673	3312	1602
674	3316	1596
675	3321	1591
676	3327	1587
677	3331	1582
678	3336	1577
679	3342	1572
680	3346	1567
