iter	Passed	Remaining
0	2	1393
1	5	1317
2	7	1254
3	9	1208
4	11	1184
5	14	1184
6	19	1362
7	21	1350
8	24	1333
9	26	1317
10	29	1303
11	31	1292
12	34	1287
13	36	1276
14	39	1270
15	42	1272
16	44	1261
17	46	1250
18	48	1240
19	51	1232
20	53	1225
21	56	1219
22	58	1214
23	60	1208
24	63	1203
25	65	1198
26	68	1196
27	70	1191
28	73	1186
29	75	1183
30	77	1180
31	80	1174
32	82	1171
33	85	1171
34	88	1170
35	91	1173
36	93	1171
37	96	1172
38	99	1172
39	101	1170
40	104	1168
41	107	1167
42	109	1165
43	112	1163
44	114	1158
45	117	1154
46	119	1151
47	122	1149
48	124	1146
49	126	1142
50	129	1139
51	131	1136
52	134	1133
53	136	1129
54	139	1129
55	142	1128
56	144	1126
57	147	1124
58	149	1120
59	152	1116
60	154	1111
61	156	1108
62	159	1104
63	161	1100
64	163	1096
65	166	1091
66	168	1087
67	170	1084
68	173	1080
69	175	1080
70	178	1078
71	181	1077
72	183	1074
73	185	1070
74	188	1067
75	190	1064
76	193	1062
77	195	1059
78	198	1056
79	200	1053
80	202	1049
81	205	1047
82	207	1044
83	210	1040
84	212	1037
85	214	1034
86	217	1031
87	219	1029
88	222	1025
89	224	1023
90	227	1021
91	230	1020
92	232	1017
93	236	1019
94	239	1019
95	241	1016
96	244	1015
97	247	1013
98	249	1009
99	251	1007
100	254	1004
101	256	1002
102	259	999
103	261	997
104	264	994
105	266	992
106	269	988
107	271	985
108	273	981
109	275	978
110	278	975
111	280	973
112	283	970
113	285	967
114	288	964
115	290	961
116	292	958
117	295	956
118	297	953
119	300	950
120	302	948
121	305	945
122	307	942
123	309	939
124	312	937
125	315	935
126	317	933
127	320	930
128	322	928
129	325	925
130	327	923
131	330	920
132	332	918
133	335	916
134	338	914
135	340	912
136	343	910
137	346	908
138	349	906
139	351	904
140	354	901
141	356	899
142	359	896
143	361	893
144	364	891
145	366	889
146	369	886
147	371	883
148	374	881
149	376	879
150	379	877
151	382	875
152	384	873
153	387	871
154	390	869
155	393	867
156	396	865
157	398	863
158	401	860
159	403	858
160	406	855
161	408	853
162	411	850
163	414	848
164	416	846
165	419	844
166	422	841
167	424	839
168	427	836
169	429	834
170	432	831
171	435	829
172	437	827
173	440	825
174	442	822
175	445	819
176	447	817
177	450	814
178	453	812
179	455	809
180	458	807
181	460	805
182	463	802
183	465	799
184	468	797
185	470	794
186	473	792
187	475	789
188	478	786
189	480	784
190	483	781
191	485	778
192	488	776
193	490	773
194	493	771
195	495	769
196	498	766
197	501	764
198	503	761
199	506	759
200	508	756
201	511	753
202	513	751
203	515	748
204	518	745
205	520	743
206	523	740
207	525	738
208	528	735
209	531	733
210	533	731
211	536	728
212	539	726
213	541	723
214	543	720
215	546	718
216	548	715
217	551	713
218	553	710
219	556	707
220	558	705
221	561	702
222	563	700
223	566	697
224	569	695
225	572	693
226	574	691
227	577	688
228	580	686
229	584	685
230	586	683
231	589	680
232	591	678
233	594	675
234	596	672
235	598	669
236	601	667
237	603	664
238	606	661
239	608	659
240	610	656
